"Price","Rooms","Distance","Car","Bathroom","BuildingArea","Landsize","YearBuilt"
"1",1035000,2,2.5,0,1,79,156,1900
"2",1465000,3,2.5,0,2,150,134,1900
"3",1600000,4,2.5,2,1,142,120,2014
"4",1876000,3,2.5,0,2,210,245,1910
"5",1636000,2,2.5,2,1,107,256,1890
"6",1097000,2,2.5,2,1,75,220,1900
"7",1350000,3,2.5,2,2,190,214,2005
"8",750000,2,2.5,1,2,94,0,2009
"9",1310000,2,2.5,2,1,97,238,1890
"10",1200000,3,2.5,1,2,110,113,1880
"11",1176500,3,2.5,1,1,105,138,1890
"12",890000,2,2.5,1,1,73,150,1985
"13",1330000,4,2.5,2,2,135,780,1900
"14",5e+05,2,2.5,1,1,60,0,1970
"15",1100000,2,2.5,1,2,135,124,2013
"16",1315000,2,2.5,0,1,85,147,1900
"17",1447500,3,2.5,1,3,174,166,2012
"18",1135000,2,2.5,2,2,128,98,1920
"19",1290000,3,2.5,1,1,124,168,1950
"20",470000,1,2.5,1,1,50,0,2013
"21",1180000,2,2.5,0,1,91,162,1900
"22",1195000,3,2.5,1,2,128,120,1998
"23",1012500,2,2.5,0,1,82,182,1900
"24",1030000,2,2.5,1,1,81,172,1930
"25",840000,3,13.5,1,2,225,303,2016
"26",730000,3,13.5,1,2,145,0,1965
"27",770000,3,13.5,1,2,145,0,1965
"28",603000,2,13.5,1,1,84,272,1950
"29",7e+05,3,13.5,2,2,134,239,2009
"30",6e+05,3,13.5,1,1,116,290,1980
"31",5e+05,2,13.5,1,1,86,168,2011
"32",725000,6,13.5,2,3,186,976,1980
"33",450000,2,13.5,1,1,90,110,2015
"34",515000,2,13.5,1,1,73,141,2013
"35",530000,2,13.5,1,1,94,120,2012
"36",895000,3,13.5,6,1,133,1063,1975
"37",805000,3,13.5,1,1,105,0,1950
"38",752000,3,13.5,1,1,130,265,1993
"39",7e+05,3,13.5,2,2,133,165,2009
"40",830000,3,13.5,2,1,113,971,1960
"41",675000,2,13.5,1,1,100,612,1975
"42",1042000,3,13.5,5,2,174,612,1950
"43",773000,4,13.5,4,3,309,531,1980
